,stock,mktcap
653,1618.HK,26733443072
654,1620.HK,0
655,1621.HK,0
656,1628.HK,0
657,1629.HK,0
658,1630.HK,0
659,1631.HK,0
660,1637.HK,0
661,1638.HK,0
662,1639.HK,0
663,1640.HK,0
664,1651.HK,0
665,1652.HK,0
666,1653.HK,0
667,1655.HK,0
668,1660.HK,0
669,1661.HK,0
670,1662.HK,0
671,1663.HK,0
672,1669.HK,0
673,1671.HK,0
674,1672.HK,0
675,1673.HK,0
676,1680.HK,0
677,1681.HK,0
678,1682.HK,0
679,1683.HK,0
680,1691.HK,0
681,1692.HK,0
682,1693.HK,0
683,1695.HK,0
684,1702.HK,0
685,1703.HK,0
686,1705.HK,0
687,1706.HK,0
688,1711.HK,0
689,1712.HK,0
690,1713.HK,0
691,1715.HK,0
692,1720.HK,0
693,1721.HK,0
694,1722.HK,0
695,1723.HK,0
696,1729.HK,0
697,1730.HK,0
698,1731.HK,0
699,1732.HK,0
700,1738.HK,0
701,1739.HK,0
702,1740.HK,0
703,1741.HK,0
704,1747.HK,0
705,1748.HK,0
706,1749.HK,0
707,1750.HK,0
708,1756.HK,0
709,1757.HK,0
710,1758.HK,0
711,1759.HK,0
712,1765.HK,0
713,1766.HK,171249876992
714,1767.HK,0
715,1769.HK,0
716,1776.HK,0
717,1777.HK,0
718,1778.HK,0
719,1780.HK,0
720,1786.HK,0
721,1787.HK,0
722,1788.HK,0
723,1789.HK,0
724,1796.HK,0
725,1797.HK,0
726,1798.HK,0
727,1799.HK,0
728,1806.HK,0
729,1808.HK,0
730,1809.HK,0
731,1810.HK,0
732,1816.HK,143046344704
733,1817.HK,0
734,1818.HK,0
735,1820.HK,0
736,1826.HK,0
737,1827.HK,0
738,1829.HK,0
739,1830.HK,0
740,1836.HK,0
741,1837.HK,0
742,1838.HK,0
743,1839.HK,0
744,1846.HK,0
745,1847.HK,0
746,1848.HK,0
747,1849.HK,0
748,1856.HK,0
749,1857.HK,0
750,1858.HK,0
751,1859.HK,0
752,1865.HK,0
753,1866.HK,0
754,1867.HK,0
755,1868.HK,0
756,1873.HK,0
757,1875.HK,0
758,1876.HK,0
759,1877.HK,0
760,1884.HK,0
761,1885.HK,0
762,1886.HK,0
763,1888.HK,0
764,1895.HK,0
765,1896.HK,0
